Entry Date,Client Name,Client Code,GL Account Number,Transaction Amount
01052020,skxtbmorqg,0IHBN61,00000000828,23144
01052020,eubedwggra,S3BPJHL,00000000798,46426
01052020,lugraxgtdl,UXEF10Z,00000000445,22350
01052020,sufwetkndt,X9KQSIN,00000000636,49222
01052020,jvoocqsaoe,M482FOI,00000000677,3646
01052020,pekvsblwsp,BQ56I3Q,00000000319,12132
01052020,xubillqdah,AYP1C8V,00000000261,44169
01052020,xyqkeucbam,8QEXLPK,00000000529,6986
01052020,hdmlrfgtae,YC96XYN,00000000733,36856
01052020,uoqldgabrm,WHHQASK,00000000419,27759
01052020,hekctgfgxq,LHNO10H,00000000455,6711
01052020,lvpjahvhmr,LB8BL5C,00000000712,32312
01052020,ejuxcmmaek,OGSKED0,00000000817,29748
01052020,hanjxzlwyn,3AI8OMB,00000000806,47799
01052020,pjfnsahhoq,EVPF8W6,00000000394,16674
01052020,dgqmllimnt,BJQ64E2,00000000395,9447
01052020,mnvuswvobz,JNEJDON,00000000623,46507
01052020,fulfkerotr,K8I0MP2,00000000816,31042
01052020,qkleaqhbkl,1YXCKNC,00000000535,2471
01052020,hxebqiqitt,F7DSA19,00000000190,15029
01052020,vubbqzxasd,R9ZHNO0,00000000829,44431
01052020,nrvpsyuklj,3WJSA5K,00000000376,17117
01052020,gnkvbanala,77K4JHP,00000000826,49844
01052020,xfhlcyeynf,246X19K,00000000569,9924
01052020,xccihzaaiz,EHTRXJI,00000000170,28322
01052020,vpvaugersy,UMFGI73,00000000845,16536
01052020,kygemlzuxu,7P2A772,00000000682,48385
01052020,iqfamrfkkp,JZMGHOB,00000000738,21061
01052020,mqpclwwqhy,5KHDF3E,00000000757,21718
01052020,dpjzmffbsq,UAK14JA,00000000644,5271
01052020,bbwsfcfjci,N98W1UV,00000000124,16092
01052020,fimrejkfty,5CVNYZV,00000000337,466
01052020,othuvyqrbi,L64QMHE,00000000650,3823
01052020,tcfgbvnvsh,JVOS6XW,00000000355,785
01052020,whhijhyiuj,5WH0QHI,00000000291,45406
01052020,lendyqsaor,H0MC52R,00000000133,31790
01052020,eeqofmwauu,QKC05WS,00000000235,14425
01052020,dtnyxdiqhe,OKJWYWT,00000000899,45952
01052020,krfqoyrxrq,B4L0SLH,00000000832,9901
01052020,uebyjhhdcu,01GG7EY,00000000723,32640
01052020,bjjahzlkps,BV3MOY8,00000000213,35431
01052020,qhjzwpexrv,7ZBWPQO,00000000534,40445
01052020,tarlvgkkbs,ONNDLYP,00000000216,43749
01052020,adajssvqom,H59RG6S,00000000500,11382
01052020,gswbienbrg,6YKL9B2,00000000745,12834
01052020,rlqyafbelx,AKOVMWN,00000000734,35190
01052020,stzyeonwma,RU4TNXA,00000000634,12813
01052020,nhkeibxbhk,KNX37ED,00000000711,44001
01052020,ivqrqvswnh,HZ0I2XP,00000000299,41820
02052020,skxtbmorqg,0IHBN61,00000000842,151
02052020,eubedwggra,S3BPJHL,00000000296,16442
02052020,lugraxgtdl,UXEF10Z,00000000769,27061
02052020,sufwetkndt,X9KQSIN,00000000177,48956
02052020,jvoocqsaoe,M482FOI,00000000106,27344
02052020,pekvsblwsp,BQ56I3Q,00000000589,21203
02052020,xubillqdah,AYP1C8V,00000000485,42590
02052020,xyqkeucbam,8QEXLPK,00000000309,13351
02052020,hdmlrfgtae,YC96XYN,00000000421,4373
02052020,uoqldgabrm,WHHQASK,00000000639,2188
02052020,hekctgfgxq,LHNO10H,00000000117,45262
02052020,lvpjahvhmr,LB8BL5C,00000000806,35075
02052020,ejuxcmmaek,OGSKED0,00000000372,23023
02052020,hanjxzlwyn,3AI8OMB,00000000888,28854
02052020,pjfnsahhoq,EVPF8W6,00000000615,36813
02052020,dgqmllimnt,BJQ64E2,00000000223,22703
02052020,mnvuswvobz,JNEJDON,00000000860,40573
02052020,fulfkerotr,K8I0MP2,00000000456,15819
02052020,qkleaqhbkl,1YXCKNC,00000000599,44798
02052020,hxebqiqitt,F7DSA19,00000000401,35407
02052020,vubbqzxasd,R9ZHNO0,00000000456,17913
02052020,nrvpsyuklj,3WJSA5K,00000000119,17362
02052020,gnkvbanala,77K4JHP,00000000470,8748
02052020,xfhlcyeynf,246X19K,00000000807,37158
02052020,xccihzaaiz,EHTRXJI,00000000837,37783
02052020,vpvaugersy,UMFGI73,00000000419,35270
02052020,kygemlzuxu,7P2A772,00000000500,2787
02052020,iqfamrfkkp,JZMGHOB,00000000536,35414
02052020,mqpclwwqhy,5KHDF3E,00000000615,46057
02052020,dpjzmffbsq,UAK14JA,00000000457,20055
02052020,bbwsfcfjci,N98W1UV,00000000203,41777
02052020,fimrejkfty,5CVNYZV,00000000834,530
02052020,othuvyqrbi,L64QMHE,00000000775,10692
02052020,tcfgbvnvsh,JVOS6XW,00000000264,37224
02052020,whhijhyiuj,5WH0QHI,00000000789,20189
02052020,lendyqsaor,H0MC52R,00000000516,32325
02052020,eeqofmwauu,QKC05WS,00000000642,13491
02052020,dtnyxdiqhe,OKJWYWT,00000000268,38180
02052020,krfqoyrxrq,B4L0SLH,00000000610,27341
02052020,uebyjhhdcu,01GG7EY,00000000120,16546
02052020,bjjahzlkps,BV3MOY8,00000000819,21468
02052020,qhjzwpexrv,7ZBWPQO,00000000566,16116
02052020,tarlvgkkbs,ONNDLYP,00000000529,17989
02052020,adajssvqom,H59RG6S,00000000885,35397
02052020,gswbienbrg,6YKL9B2,00000000340,28853
02052020,rlqyafbelx,AKOVMWN,00000000259,49715
02052020,stzyeonwma,RU4TNXA,00000000630,34778
02052020,nhkeibxbhk,KNX37ED,00000000792,28797
02052020,ivqrqvswnh,HZ0I2XP,00000000279,23466
03052020,skxtbmorqg,0IHBN61,00000000548,33476
03052020,eubedwggra,S3BPJHL,00000000263,44318
03052020,lugraxgtdl,UXEF10Z,00000000873,25988
03052020,sufwetkndt,X9KQSIN,00000000212,3889
03052020,jvoocqsaoe,M482FOI,00000000271,14304
03052020,pekvsblwsp,BQ56I3Q,00000000883,45464
03052020,xubillqdah,AYP1C8V,00000000112,1737
03052020,xyqkeucbam,8QEXLPK,00000000618,12726
03052020,hdmlrfgtae,YC96XYN,00000000695,7754
03052020,uoqldgabrm,WHHQASK,00000000451,49676
03052020,hekctgfgxq,LHNO10H,00000000142,39840
03052020,lvpjahvhmr,LB8BL5C,00000000579,3951
03052020,ejuxcmmaek,OGSKED0,00000000689,39815
03052020,hanjxzlwyn,3AI8OMB,00000000697,10483
03052020,pjfnsahhoq,EVPF8W6,00000000559,22798
03052020,dgqmllimnt,BJQ64E2,00000000318,27427
03052020,mnvuswvobz,JNEJDON,00000000569,15168
03052020,fulfkerotr,K8I0MP2,00000000413,45825
03052020,qkleaqhbkl,1YXCKNC,00000000106,47386
03052020,hxebqiqitt,F7DSA19,00000000204,46562
03052020,vubbqzxasd,R9ZHNO0,00000000440,40170
03052020,nrvpsyuklj,3WJSA5K,00000000301,5916
03052020,gnkvbanala,77K4JHP,00000000482,7732
03052020,xfhlcyeynf,246X19K,00000000767,46963
03052020,xccihzaaiz,EHTRXJI,00000000806,38268
03052020,vpvaugersy,UMFGI73,00000000738,29449
03052020,kygemlzuxu,7P2A772,00000000653,19025
03052020,iqfamrfkkp,JZMGHOB,00000000780,4748
03052020,mqpclwwqhy,5KHDF3E,00000000872,23009
03052020,dpjzmffbsq,UAK14JA,00000000491,22789
03052020,bbwsfcfjci,N98W1UV,00000000867,1115
03052020,fimrejkfty,5CVNYZV,00000000163,4467
03052020,othuvyqrbi,L64QMHE,00000000686,7583
03052020,tcfgbvnvsh,JVOS6XW,00000000402,12305
03052020,whhijhyiuj,5WH0QHI,00000000291,25855
03052020,lendyqsaor,H0MC52R,00000000616,34838
03052020,eeqofmwauu,QKC05WS,00000000139,12472
03052020,dtnyxdiqhe,OKJWYWT,00000000282,39029
03052020,krfqoyrxrq,B4L0SLH,00000000640,30568
03052020,uebyjhhdcu,01GG7EY,00000000877,39290
03052020,bjjahzlkps,BV3MOY8,00000000772,46128
03052020,qhjzwpexrv,7ZBWPQO,00000000706,13020
03052020,tarlvgkkbs,ONNDLYP,00000000384,39221
03052020,adajssvqom,H59RG6S,00000000240,14708
03052020,gswbienbrg,6YKL9B2,00000000890,22118
03052020,rlqyafbelx,AKOVMWN,00000000624,35243
03052020,stzyeonwma,RU4TNXA,00000000622,32575
03052020,nhkeibxbhk,KNX37ED,00000000845,30601
03052020,ivqrqvswnh,HZ0I2XP,00000000633,40562
